,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
22123,2008,1,9,3,1316.0,1305,1403.0,1400,WN,1685,N660SW,47.0,55.0,35.0,3.0,11.0,TUL,MCI,223,3.0,9.0,0,N,0,,,,,
22132,2008,1,9,3,1436.0,1420,1453.0,1435,WN,280,N420WN,77.0,75.0,62.0,18.0,16.0,TUS,LAS,365,3.0,12.0,0,N,0,0.0,0.0,2.0,0.0,16.0
22151,2008,1,10,4,2004.0,1845,2154.0,2040,WN,746,N481WN,50.0,55.0,39.0,74.0,79.0,ABQ,AMA,277,4.0,7.0,0,N,0,0.0,0.0,0.0,0.0,74.0
22153,2008,1,10,4,1447.0,1435,1716.0,1710,WN,45,N692SW,89.0,95.0,78.0,6.0,12.0,ABQ,DAL,580,3.0,8.0,0,N,0,,,,,
22162,2008,1,10,4,1705.0,1645,1818.0,1800,WN,294,N387SW,73.0,75.0,53.0,18.0,20.0,ABQ,DEN,349,5.0,15.0,0,N,0,1.0,0.0,0.0,0.0,17.0
22171,2008,1,10,4,1251.0,1245,1328.0,1320,WN,1328,N368SW,97.0,95.0,81.0,8.0,6.0,ABQ,LAS,487,3.0,13.0,0,N,0,,,,,
22176,2008,1,10,4,1801.0,1755,1837.0,1830,WN,2788,N693SW,96.0,95.0,81.0,7.0,6.0,ABQ,LAS,487,5.0,10.0,0,N,0,,,,,
22181,2008,1,10,4,2021.0,2005,2128.0,2105,WN,2027,N652SW,127.0,120.0,109.0,23.0,16.0,ABQ,LAX,677,9.0,9.0,0,N,0,0.0,0.0,7.0,0.0,16.0
22188,2008,1,10,4,948.0,935,1313.0,1315,WN,2524,N293,145.0,160.0,133.0,-2.0,13.0,ABQ,MDW,1121,4.0,8.0,0,N,0,,,,,
22195,2008,1,10,4,903.0,755,1036.0,910,WN,88,N749SW,93.0,75.0,56.0,86.0,68.0,ABQ,PHX,328,5.0,32.0,0,N,0,0.0,68.0,18.0,0.0,0.0
22196,2008,1,10,4,2002.0,1935,2111.0,2050,WN,160,N409WN,69.0,75.0,55.0,21.0,27.0,ABQ,PHX,328,6.0,8.0,0,N,0,21.0,0.0,0.0,0.0,0.0
22200,2008,1,10,4,2129.0,2045,2230.0,2155,WN,823,N416WN,61.0,70.0,52.0,35.0,44.0,ABQ,PHX,328,4.0,5.0,0,N,0,0.0,0.0,0.0,0.0,35.0
22201,2008,1,10,4,928.0,905,1043.0,1025,WN,957,N380SW,75.0,80.0,55.0,18.0,23.0,ABQ,PHX,328,5.0,15.0,0,N,0,0.0,0.0,18.0,0.0,0.0
22208,2008,1,10,4,1938.0,1910,2157.0,2125,WN,2010,N391SW,199.0,195.0,185.0,32.0,28.0,ABQ,SEA,1180,5.0,9.0,0,N,0,17.0,0.0,4.0,0.0,11.0
22211,2008,1,10,4,922.0,915,1057.0,1055,WN,1002,N715SW,95.0,100.0,83.0,2.0,7.0,ABQ,SLC,493,3.0,9.0,0,N,0,,,,,
22214,2008,1,10,4,1750.0,1725,1854.0,1830,WN,644,N472WN,64.0,65.0,51.0,24.0,25.0,ABQ,TUS,321,4.0,9.0,0,N,0,0.0,0.0,0.0,0.0,24.0
22215,2008,1,10,4,1038.0,1020,1142.0,1130,WN,1655,N390SW,64.0,70.0,50.0,12.0,18.0,ABQ,TUS,321,3.0,11.0,0,N,0,,,,,
22218,2008,1,10,4,1924.0,1820,2029.0,1935,WN,1861,N701GS,65.0,75.0,56.0,54.0,64.0,ALB,BWI,288,3.0,6.0,0,N,0,0.0,0.0,0.0,0.0,54.0
22224,2008,1,10,4,1939.0,1930,2223.0,2235,WN,1416,N450WN,164.0,185.0,154.0,-12.0,9.0,ALB,MCO,1073,5.0,5.0,0,N,0,,,,,
22239,2008,1,10,4,1601.0,1540,1618.0,1555,WN,510,N245WN,77.0,75.0,59.0,23.0,21.0,AMA,DEN,358,5.0,13.0,0,N,0,0.0,0.0,2.0,0.0,21.0
22252,2008,1,10,4,1737.0,1640,1827.0,1735,WN,900,N222WN,50.0,55.0,37.0,52.0,57.0,AUS,DAL,189,4.0,9.0,0,N,0,0.0,0.0,0.0,0.0,52.0
22260,2008,1,10,4,1447.0,1435,1607.0,1550,WN,2124,N624SW,140.0,135.0,123.0,17.0,12.0,AUS,DEN,775,5.0,12.0,0,N,0,4.0,0.0,5.0,0.0,8.0
22265,2008,1,10,4,1446.0,1440,1526.0,1530,WN,112,N520SW,40.0,50.0,29.0,-4.0,6.0,AUS,HOU,148,3.0,8.0,0,N,0,,,,,
22275,2008,1,10,4,1942.0,1925,2037.0,2030,WN,3862,N608SW,175.0,185.0,164.0,7.0,17.0,AUS,LAS,1090,3.0,8.0,0,N,0,,,,,
22277,2008,1,10,4,1747.0,1740,1856.0,1850,WN,160,N409WN,69.0,70.0,56.0,6.0,7.0,AUS,LBB,341,2.0,11.0,0,N,0,,,,,
22282,2008,1,10,4,1758.0,1740,2019.0,2010,WN,870,N600WN,141.0,150.0,127.0,9.0,18.0,AUS,MDW,972,1.0,13.0,0,N,0,,,,,
22285,2008,1,10,4,1601.0,1520,1721.0,1655,WN,700,N309SW,140.0,155.0,129.0,26.0,41.0,AUS,PHX,872,3.0,8.0,0,N,0,0.0,0.0,0.0,0.0,26.0
22288,2008,1,10,4,1553.0,1530,1646.0,1640,WN,687,N260WN,173.0,190.0,160.0,6.0,23.0,AUS,SAN,1164,3.0,10.0,0,N,0,,,,,
22290,2008,1,10,4,1541.0,1535,1846.0,1850,WN,304,N612SW,125.0,135.0,113.0,-4.0,6.0,AUS,TPA,928,4.0,8.0,0,N,0,,,,,
22298,2008,1,10,4,1936.0,1835,2049.0,1945,WN,3486,N649SW,73.0,70.0,52.0,64.0,61.0,BDL,BWI,283,16.0,5.0,0,N,0,0.0,0.0,3.0,0.0,61.0
22309,2008,1,10,4,1920.0,1910,2217.0,2225,WN,3407,N686SW,177.0,195.0,164.0,-8.0,10.0,BDL,TPA,1111,3.0,10.0,0,N,0,,,,,
22310,2008,1,10,4,1538.0,1520,1629.0,1610,WN,102,N699SW,51.0,50.0,39.0,19.0,18.0,BHM,BNA,177,4.0,8.0,0,N,0,0.0,0.0,19.0,0.0,0.0
22312,2008,1,10,4,1318.0,1300,1605.0,1550,WN,521,N353SW,107.0,110.0,96.0,15.0,18.0,BHM,BWI,682,4.0,7.0,0,N,0,0.0,0.0,0.0,0.0,15.0
22317,2008,1,10,4,1715.0,1645,1905.0,1825,WN,764,N363SW,110.0,100.0,99.0,40.0,30.0,BHM,DAL,587,3.0,8.0,0,N,0,0.0,0.0,10.0,0.0,30.0
22319,2008,1,10,4,1748.0,1655,1949.0,1850,WN,823,N416WN,121.0,115.0,105.0,59.0,53.0,BHM,HOU,570,3.0,13.0,0,N,0,0.0,0.0,6.0,0.0,53.0
22329,2008,1,10,4,644.0,615,753.0,720,WN,1481,N437WN,69.0,65.0,57.0,33.0,29.0,BHM,MSY,321,3.0,9.0,0,N,0,0.0,29.0,4.0,0.0,0.0
22335,2008,1,10,4,1826.0,1750,2046.0,2010,WN,2205,N607SW,80.0,80.0,66.0,36.0,36.0,BHM,TPA,460,4.0,10.0,0,N,0,6.0,0.0,0.0,0.0,30.0
22336,2008,1,10,4,1427.0,1350,1643.0,1610,WN,2802,N717SA,76.0,80.0,64.0,33.0,37.0,BHM,TPA,460,3.0,9.0,0,N,0,0.0,5.0,0.0,0.0,28.0
22337,2008,1,10,4,1520.0,1350,1737.0,1615,WN,813,N600WN,137.0,145.0,126.0,82.0,90.0,BNA,AUS,756,4.0,7.0,0,N,0,0.0,28.0,0.0,0.0,54.0
22341,2008,1,10,4,1008.0,1000,1056.0,1050,WN,112,N520SW,48.0,50.0,35.0,6.0,8.0,BNA,BHM,177,2.0,11.0,0,N,0,,,,,
22342,2008,1,10,4,1559.0,1535,1656.0,1625,WN,764,N363SW,57.0,50.0,39.0,31.0,24.0,BNA,BHM,177,3.0,15.0,0,N,0,0.0,0.0,7.0,0.0,24.0
22343,2008,1,10,4,921.0,900,1155.0,1140,WN,48,N660SW,94.0,100.0,77.0,15.0,21.0,BNA,BWI,588,3.0,14.0,0,N,0,0.0,10.0,0.0,0.0,5.0
22345,2008,1,10,4,1532.0,1430,1803.0,1705,WN,133,N768SW,91.0,95.0,76.0,58.0,62.0,BNA,BWI,588,7.0,8.0,0,N,0,0.0,36.0,0.0,0.0,22.0
22352,2008,1,10,4,2018.0,1940,2221.0,2205,WN,2555,N482WN,63.0,85.0,52.0,16.0,38.0,BNA,CLE,448,4.0,7.0,0,N,0,0.0,0.0,0.0,0.0,16.0
22354,2008,1,10,4,1911.0,1905,2103.0,2115,WN,1668,N231WN,52.0,70.0,42.0,-12.0,6.0,BNA,CMH,338,3.0,7.0,0,N,0,,,,,
22355,2008,1,10,4,938.0,925,1122.0,1125,WN,341,N675AA,164.0,180.0,150.0,-3.0,13.0,BNA,DEN,1013,6.0,8.0,0,N,0,,,,,
22357,2008,1,10,4,1514.0,1410,1727.0,1645,WN,249,N482WN,73.0,95.0,59.0,42.0,64.0,BNA,DTW,457,6.0,8.0,0,N,0,0.0,42.0,0.0,0.0,0.0
22358,2008,1,10,4,934.0,915,1151.0,1145,WN,1592,N343SW,77.0,90.0,67.0,6.0,19.0,BNA,DTW,457,3.0,7.0,0,N,0,,,,,
22359,2008,1,10,4,1926.0,1840,2141.0,2110,WN,3238,N348SW,75.0,90.0,59.0,31.0,46.0,BNA,DTW,457,7.0,9.0,0,N,0,0.0,0.0,0.0,0.0,31.0
22363,2008,1,10,4,851.0,845,1111.0,1055,WN,614,N442WN,140.0,130.0,117.0,16.0,6.0,BNA,HOU,670,3.0,20.0,0,N,0,0.0,6.0,10.0,0.0,0.0
22377,2008,1,10,4,1838.0,1815,2102.0,2100,WN,2437,N290WN,264.0,285.0,248.0,2.0,23.0,BNA,LAX,1797,8.0,8.0,0,N,0,,,,,
22378,2008,1,10,4,1659.0,1640,1835.0,1825,WN,102,N699SW,96.0,105.0,82.0,10.0,19.0,BNA,MCI,491,7.0,7.0,0,N,0,,,,,
22382,2008,1,10,4,659.0,645,935.0,930,WN,150,N759GS,96.0,105.0,82.0,5.0,14.0,BNA,MCO,616,6.0,8.0,0,N,0,,,,,
22383,2008,1,10,4,1747.0,1735,2029.0,2020,WN,1058,N401WN,102.0,105.0,85.0,9.0,12.0,BNA,MCO,616,7.0,10.0,0,N,0,,,,,
22384,2008,1,10,4,2047.0,2030,2324.0,2310,WN,2032,N271WN,97.0,100.0,83.0,14.0,17.0,BNA,MCO,616,4.0,10.0,0,N,0,,,,,
22386,2008,1,10,4,1559.0,1530,1845.0,1815,WN,3169,N449WN,106.0,105.0,86.0,30.0,29.0,BNA,MCO,616,7.0,13.0,0,N,0,0.0,0.0,1.0,0.0,29.0
22388,2008,1,10,4,1815.0,1805,1934.0,1930,WN,762,N902WN,79.0,85.0,69.0,4.0,10.0,BNA,MDW,395,3.0,7.0,0,N,0,,,,,
22396,2008,1,10,4,1810.0,1735,1946.0,1905,WN,570,N503SW,96.0,90.0,83.0,41.0,35.0,BNA,MSY,471,3.0,10.0,0,N,0,0.0,0.0,6.0,0.0,35.0
22398,2008,1,10,4,1502.0,1420,1756.0,1725,WN,2463,N415WN,294.0,305.0,276.0,31.0,42.0,BNA,OAK,1959,6.0,12.0,0,N,0,0.0,31.0,0.0,0.0,0.0
22399,2008,1,10,4,1556.0,1525,1805.0,1755,WN,145,N457WN,249.0,270.0,236.0,10.0,31.0,BNA,ONT,1751,4.0,9.0,0,N,0,,,,,
22406,2008,1,10,4,1535.0,1510,1808.0,1805,WN,3839,N279WN,213.0,235.0,199.0,3.0,25.0,BNA,PHX,1448,5.0,9.0,0,N,0,,,,,
22407,2008,1,10,4,1718.0,1635,2022.0,1945,WN,2644,N776WN,124.0,130.0,109.0,37.0,43.0,BNA,PVD,907,4.0,11.0,0,N,0,0.0,0.0,0.0,0.0,37.0
22408,2008,1,10,4,859.0,850,1128.0,1110,WN,144,N279WN,89.0,80.0,67.0,18.0,9.0,BNA,RDU,443,5.0,17.0,0,N,0,0.0,9.0,9.0,0.0,0.0
22410,2008,1,10,4,1953.0,1940,2208.0,2200,WN,1262,N341SW,75.0,80.0,64.0,8.0,13.0,BNA,RDU,443,3.0,8.0,0,N,0,,,,,
22411,2008,1,10,4,1527.0,1415,1747.0,1635,WN,1502,N378SW,80.0,80.0,67.0,72.0,72.0,BNA,RDU,443,4.0,9.0,0,N,0,0.0,67.0,0.0,0.0,5.0
22413,2008,1,10,4,1537.0,1410,1809.0,1640,WN,176,N304SW,272.0,270.0,256.0,89.0,87.0,BNA,SAN,1751,3.0,13.0,0,N,0,0.0,81.0,2.0,0.0,6.0
22417,2008,1,10,4,1608.0,1600,1852.0,1905,WN,2380,N901WN,284.0,305.0,268.0,-13.0,8.0,BNA,SEA,1977,5.0,11.0,0,N,0,,,,,
22420,2008,1,10,4,1535.0,1425,1817.0,1705,WN,3136,N340LV,102.0,100.0,89.0,72.0,70.0,BNA,TPA,612,3.0,10.0,0,N,0,0.0,0.0,2.0,0.0,70.0
22421,2008,1,10,4,944.0,930,1220.0,1215,WN,3599,N619SW,96.0,105.0,84.0,5.0,14.0,BNA,TPA,612,3.0,9.0,0,N,0,,,,,
22427,2008,1,10,4,1948.0,1835,2017.0,1915,WN,2991,N386SW,89.0,100.0,78.0,62.0,73.0,BOI,LAS,520,4.0,7.0,0,N,0,0.0,0.0,0.0,0.0,62.0
22430,2008,1,10,4,1239.0,1230,1258.0,1245,WN,71,N318SW,79.0,75.0,69.0,13.0,9.0,BOI,PDX,344,2.0,8.0,0,N,0,,,,,
22435,2008,1,10,4,1944.0,1905,1948.0,1910,WN,1403,N314SW,64.0,65.0,54.0,38.0,39.0,BOI,RNO,335,4.0,6.0,0,N,0,0.0,0.0,0.0,0.0,38.0
22437,2008,1,10,4,1826.0,1800,1846.0,1825,WN,1022,N324SW,80.0,85.0,68.0,21.0,26.0,BOI,SEA,399,5.0,7.0,0,N,0,0.0,0.0,0.0,0.0,21.0
22448,2008,1,10,4,1622.0,1540,1723.0,1645,WN,1828,N646SW,61.0,65.0,51.0,38.0,42.0,BUF,BWI,281,4.0,6.0,0,N,0,0.0,0.0,0.0,0.0,38.0
22456,2008,1,10,4,1701.0,1630,1950.0,1930,WN,774,N422WN,289.0,300.0,275.0,20.0,31.0,BUF,PHX,1912,7.0,7.0,0,N,0,0.0,0.0,0.0,0.0,20.0
22457,2008,1,10,4,747.0,740,1018.0,1030,WN,2178,N709SW,151.0,170.0,141.0,-12.0,7.0,BUF,TPA,1054,4.0,6.0,0,N,0,,,,,
22458,2008,1,10,4,1537.0,1525,1821.0,1815,WN,3576,N347SW,164.0,170.0,153.0,6.0,12.0,BUF,TPA,1054,5.0,6.0,0,N,0,,,,,
22466,2008,1,10,4,1326.0,1305,1443.0,1410,WN,2032,N271WN,77.0,65.0,42.0,33.0,21.0,BUR,LAS,223,4.0,31.0,0,N,0,0.0,0.0,12.0,0.0,21.0
22468,2008,1,10,4,1804.0,1745,1906.0,1845,WN,2457,N730SW,62.0,60.0,43.0,21.0,19.0,BUR,LAS,223,6.0,13.0,0,N,0,0.0,0.0,2.0,0.0,19.0
22470,2008,1,10,4,1936.0,1915,2035.0,2015,WN,2550,N415WN,59.0,60.0,46.0,20.0,21.0,BUR,LAS,223,3.0,10.0,0,N,0,3.0,0.0,0.0,0.0,17.0
22472,2008,1,10,4,1437.0,1425,1601.0,1535,WN,10,N224WN,84.0,70.0,68.0,26.0,12.0,BUR,OAK,325,4.0,12.0,0,N,0,0.0,0.0,19.0,0.0,7.0
22490,2008,1,10,4,2121.0,2115,2330.0,2330,WN,325,N375SW,69.0,75.0,56.0,0.0,6.0,BUR,PHX,369,5.0,8.0,0,N,0,,,,,
22503,2008,1,10,4,2102.0,2055,2206.0,2200,WN,2871,N758SW,64.0,65.0,51.0,6.0,7.0,BUR,SJC,296,2.0,11.0,0,N,0,,,,,
22504,2008,1,10,4,1404.0,1345,1514.0,1450,WN,2874,N621SW,70.0,65.0,53.0,24.0,19.0,BUR,SJC,296,4.0,13.0,0,N,0,7.0,0.0,5.0,0.0,12.0
22511,2008,1,10,4,2120.0,2055,2244.0,2210,WN,333,N457WN,84.0,75.0,65.0,34.0,25.0,BUR,SMF,358,6.0,13.0,0,N,0,0.0,0.0,9.0,0.0,25.0
22514,2008,1,10,4,954.0,925,1109.0,1040,WN,1408,N485WN,75.0,75.0,62.0,29.0,29.0,BUR,SMF,358,4.0,9.0,0,N,0,0.0,0.0,0.0,0.0,29.0
22516,2008,1,10,4,1818.0,1800,1934.0,1915,WN,2284,N729SW,76.0,75.0,62.0,19.0,18.0,BUR,SMF,358,4.0,10.0,0,N,0,9.0,0.0,1.0,0.0,9.0
22517,2008,1,10,4,1503.0,1435,1625.0,1550,WN,2370,N730SW,82.0,75.0,65.0,35.0,28.0,BUR,SMF,358,4.0,13.0,0,N,0,2.0,0.0,7.0,0.0,26.0
22520,2008,1,10,4,1510.0,1425,1720.0,1655,WN,644,N472WN,250.0,270.0,233.0,25.0,45.0,BWI,ABQ,1670,4.0,13.0,0,N,0,25.0,0.0,0.0,0.0,0.0
22521,2008,1,10,4,1817.0,1755,1914.0,1905,WN,236,N450WN,57.0,70.0,46.0,9.0,22.0,BWI,ALB,288,3.0,8.0,0,N,0,,,,,
22524,2008,1,10,4,1756.0,1645,1859.0,1755,WN,1774,N701GS,63.0,70.0,47.0,64.0,71.0,BWI,ALB,288,4.0,12.0,0,N,0,64.0,0.0,0.0,0.0,0.0
22529,2008,1,10,4,922.0,915,1207.0,1210,WN,3481,N406WN,225.0,235.0,212.0,-3.0,7.0,BWI,AUS,1342,4.0,9.0,0,N,0,,,,,
22531,2008,1,10,4,2124.0,2030,2223.0,2135,WN,1507,N449WN,59.0,65.0,46.0,48.0,54.0,BWI,BDL,283,3.0,10.0,0,N,0,0.0,0.0,0.0,0.0,48.0
22535,2008,1,10,4,1552.0,1545,1655.0,1650,WN,2362,N794SW,63.0,65.0,44.0,5.0,7.0,BWI,BDL,283,4.0,15.0,0,N,0,,,,,
22537,2008,1,10,4,1801.0,1740,1857.0,1845,WN,3320,N686SW,56.0,65.0,43.0,12.0,21.0,BWI,BDL,283,4.0,9.0,0,N,0,,,,,
22541,2008,1,10,4,822.0,815,931.0,930,WN,2031,N607SW,129.0,135.0,111.0,1.0,7.0,BWI,BHM,682,2.0,16.0,0,N,0,,,,,
22543,2008,1,10,4,1402.0,1355,1528.0,1455,WN,145,N457WN,146.0,120.0,122.0,33.0,7.0,BWI,BNA,588,16.0,8.0,0,N,0,7.0,0.0,26.0,0.0,0.0
22548,2008,1,10,4,1726.0,1650,1816.0,1750,WN,2437,N290WN,110.0,120.0,99.0,26.0,36.0,BWI,BNA,588,4.0,7.0,0,N,0,26.0,0.0,0.0,0.0,0.0
22554,2008,1,10,4,2121.0,2115,2217.0,2220,WN,1830,N388SW,56.0,65.0,45.0,-3.0,6.0,BWI,BUF,281,3.0,8.0,0,N,0,,,,,
22560,2008,1,10,4,2042.0,2015,2157.0,2125,WN,881,N353SW,75.0,70.0,57.0,32.0,27.0,BWI,CLE,314,5.0,13.0,0,N,0,0.0,0.0,10.0,0.0,22.0
22565,2008,1,10,4,1348.0,1340,1504.0,1455,WN,3406,N452WN,76.0,75.0,62.0,9.0,8.0,BWI,CMH,336,2.0,12.0,0,N,0,,,,,
22566,2008,1,10,4,728.0,710,923.0,920,WN,1049,N426WN,235.0,250.0,218.0,3.0,18.0,BWI,DEN,1491,7.0,10.0,0,N,0,,,,,
22567,2008,1,10,4,1219.0,1210,1411.0,1420,WN,2707,N233LV,232.0,250.0,212.0,-9.0,9.0,BWI,DEN,1491,4.0,16.0,0,N,0,,,,,
22568,2008,1,10,4,1911.0,1815,2106.0,2025,WN,3331,N700GS,235.0,250.0,219.0,41.0,56.0,BWI,DEN,1491,5.0,11.0,0,N,0,40.0,0.0,0.0,0.0,1.0
22571,2008,1,10,4,1155.0,1120,1319.0,1300,WN,3049,N340LV,84.0,100.0,70.0,19.0,35.0,BWI,DTW,408,4.0,10.0,0,N,0,0.0,0.0,0.0,0.0,19.0
22576,2008,1,10,4,2116.0,2010,2336.0,2250,WN,3486,N701GS,140.0,160.0,132.0,46.0,66.0,BWI,FLL,925,2.0,6.0,0,N,0,1.0,0.0,0.0,0.0,45.0
22580,2008,1,10,4,1216.0,1200,1504.0,1440,WN,2436,N371SW,228.0,220.0,210.0,24.0,16.0,BWI,HOU,1246,2.0,16.0,0,N,0,16.0,0.0,8.0,0.0,0.0
22582,2008,1,10,4,1636.0,1615,1820.0,1805,WN,509,N219WN,104.0,110.0,86.0,15.0,21.0,BWI,IND,515,9.0,9.0,0,N,0,0.0,0.0,0.0,0.0,15.0
22584,2008,1,10,4,1249.0,1205,1432.0,1355,WN,675,N671SW,103.0,110.0,93.0,37.0,44.0,BWI,IND,515,3.0,7.0,0,N,0,31.0,0.0,0.0,0.0,6.0
22587,2008,1,10,4,1948.0,1855,2040.0,1955,WN,1155,N447WN,52.0,60.0,40.0,45.0,53.0,BWI,ISP,220,4.0,8.0,0,N,0,45.0,0.0,0.0,0.0,0.0
22589,2008,1,10,4,2052.0,1955,2151.0,2055,WN,1678,N261WN,59.0,60.0,40.0,56.0,57.0,BWI,ISP,220,3.0,16.0,0,N,0,56.0,0.0,0.0,0.0,0.0
22591,2008,1,10,4,1629.0,1555,1720.0,1655,WN,3771,N236WN,51.0,60.0,39.0,25.0,34.0,BWI,ISP,220,3.0,9.0,0,N,0,25.0,0.0,0.0,0.0,0.0
22595,2008,1,10,4,1233.0,1205,1432.0,1410,WN,1244,N328SW,119.0,125.0,104.0,22.0,28.0,BWI,JAX,663,5.0,10.0,0,N,0,2.0,0.0,0.0,0.0,20.0
22600,2008,1,10,4,1051.0,1035,1232.0,1215,WN,700,N309SW,161.0,160.0,147.0,17.0,16.0,BWI,LIT,912,5.0,9.0,0,N,0,10.0,0.0,1.0,0.0,6.0
22605,2008,1,10,4,1940.0,1925,2146.0,2145,WN,168,N662SW,126.0,140.0,115.0,1.0,15.0,BWI,MCO,787,5.0,6.0,0,N,0,,,,,
22615,2008,1,10,4,1037.0,1020,1131.0,1125,WN,872,N458WN,114.0,125.0,99.0,6.0,17.0,BWI,MDW,611,4.0,11.0,0,N,0,,,,,
22618,2008,1,10,4,1341.0,1300,1438.0,1405,WN,1276,N285WN,117.0,125.0,103.0,33.0,41.0,BWI,MDW,611,3.0,11.0,0,N,0,33.0,0.0,0.0,0.0,0.0
22620,2008,1,10,4,633.0,620,721.0,730,WN,2702,N486WN,108.0,130.0,96.0,-9.0,13.0,BWI,MDW,611,4.0,8.0,0,N,0,,,,,
22625,2008,1,10,4,839.0,825,954.0,940,WN,726,N600WN,75.0,75.0,60.0,14.0,14.0,BWI,MHT,377,4.0,11.0,0,N,0,,,,,
22627,2008,1,10,4,1546.0,1510,1656.0,1625,WN,2126,N670SW,70.0,75.0,60.0,31.0,36.0,BWI,MHT,377,4.0,6.0,0,N,0,31.0,0.0,0.0,0.0,0.0
22629,2008,1,10,4,1617.0,1610,1725.0,1725,WN,2801,N345SA,68.0,75.0,57.0,0.0,7.0,BWI,MHT,377,4.0,7.0,0,N,0,,,,,
22634,2008,1,10,4,1222.0,1205,1315.0,1255,WN,48,N660SW,53.0,50.0,37.0,20.0,17.0,BWI,ORF,159,2.0,14.0,0,N,0,2.0,0.0,3.0,0.0,15.0
22637,2008,1,10,4,1751.0,1715,1838.0,1805,WN,1828,N646SW,47.0,50.0,37.0,33.0,36.0,BWI,ORF,159,4.0,6.0,0,N,0,0.0,0.0,0.0,0.0,33.0
22639,2008,1,10,4,2042.0,2030,2303.0,2300,WN,324,N262WN,141.0,150.0,121.0,3.0,12.0,BWI,PBI,883,5.0,15.0,0,N,0,,,,,
22641,2008,1,10,4,1708.0,1650,1925.0,1925,WN,2103,N719SW,137.0,155.0,121.0,0.0,18.0,BWI,PBI,883,4.0,12.0,0,N,0,,,,,
22643,2008,1,10,4,1837.0,1735,2134.0,2055,WN,489,N768SW,297.0,320.0,277.0,39.0,62.0,BWI,PHX,1999,7.0,13.0,0,N,0,2.0,0.0,0.0,0.0,37.0
22644,2008,1,10,4,1404.0,1355,1655.0,1710,WN,2359,N477WN,291.0,315.0,278.0,-15.0,9.0,BWI,PHX,1999,5.0,8.0,0,N,0,,,,,
22647,2008,1,10,4,1208.0,1200,1302.0,1300,WN,458,N460WN,54.0,60.0,38.0,2.0,8.0,BWI,PIT,210,4.0,12.0,0,N,0,,,,,
22648,2008,1,10,4,1907.0,1850,2005.0,1950,WN,3505,N257WN,58.0,60.0,42.0,15.0,17.0,BWI,PIT,210,7.0,9.0,0,N,0,3.0,0.0,0.0,0.0,12.0
22653,2008,1,10,4,1929.0,1855,2027.0,2005,WN,394,N201LV,58.0,70.0,46.0,22.0,34.0,BWI,PVD,328,5.0,7.0,0,N,0,0.0,0.0,0.0,0.0,22.0
22667,2008,1,10,4,1013.0,915,1119.0,1020,WN,3499,N717SA,66.0,65.0,52.0,59.0,58.0,BWI,RDU,255,3.0,11.0,0,N,0,58.0,0.0,1.0,0.0,0.0
22671,2008,1,10,4,901.0,845,1131.0,1135,WN,3679,N775SW,330.0,350.0,312.0,-4.0,16.0,BWI,SAN,2295,4.0,14.0,0,N,0,,,,,
22672,2008,1,10,4,1547.0,1535,1841.0,1835,WN,572,N263WN,234.0,240.0,221.0,6.0,12.0,BWI,SAT,1407,3.0,10.0,0,N,0,,,,,
22675,2008,1,10,4,1631.0,1615,1823.0,1805,WN,229,N353SW,112.0,110.0,101.0,18.0,16.0,BWI,SDF,495,5.0,6.0,0,N,0,1.0,0.0,2.0,0.0,15.0
22679,2008,1,10,4,902.0,840,1208.0,1140,WN,3141,N273WN,306.0,300.0,289.0,28.0,22.0,BWI,SLC,1864,2.0,15.0,0,N,0,7.0,0.0,6.0,0.0,15.0
22682,2008,1,10,4,1922.0,1915,2029.0,2040,WN,1062,N335SW,127.0,145.0,114.0,-11.0,7.0,BWI,STL,737,6.0,7.0,0,N,0,,,,,
22687,2008,1,10,4,1718.0,1650,1937.0,1925,WN,1418,N328SW,139.0,155.0,129.0,12.0,28.0,BWI,TPA,842,3.0,7.0,0,N,0,,,,,
22693,2008,1,10,4,1658.0,1650,1731.0,1725,WN,1576,N519SW,93.0,95.0,80.0,6.0,8.0,CLE,BNA,448,3.0,10.0,0,N,0,,,,,
22711,2008,1,10,4,1640.0,1555,1659.0,1610,WN,2557,N776WN,79.0,75.0,61.0,49.0,45.0,CMH,BNA,338,6.0,12.0,0,N,0,0.0,0.0,4.0,0.0,45.0
22716,2008,1,10,4,2050.0,2000,2154.0,2110,WN,2474,N278WN,64.0,70.0,48.0,44.0,50.0,CMH,BWI,336,8.0,8.0,0,N,0,0.0,0.0,0.0,0.0,44.0
22720,2008,1,10,4,1228.0,1220,1431.0,1435,WN,1336,N287WN,123.0,135.0,107.0,-4.0,8.0,CMH,MCO,802,6.0,10.0,0,N,0,,,,,
22730,2008,1,10,4,1855.0,1845,2022.0,2020,WN,283,N737JW,87.0,95.0,69.0,2.0,10.0,CMH,PHL,405,4.0,14.0,0,N,0,,,,,
22732,2008,1,10,4,1524.0,1515,1642.0,1650,WN,3493,N452WN,78.0,95.0,65.0,-8.0,9.0,CMH,PHL,405,5.0,8.0,0,N,0,,,,,
